Loading model...
Transcribing: C:\Users\Hatem\Documents\azkar-app\public\morning-azkar-voice.mp3
  [20s] 12 words...
  [20s] 14 words...
  [20s] 21 words...
  [21s] 22 words...
  [21s] 25 words...
  [21s] 27 words...
  [21s] 31 words...
  [21s] 36 words...
  [26s] 40 words...
  [26s] 45 words...
  [26s] 52 words...
  [26s] 57 words...
  [26s] 64 words...
  [31s] 70 words...
  [31s] 76 words...
  [31s] 81 words...
  [31s] 84 words...
  [37s] 90 words...
  [37s] 91 words...
  [37s] 94 words...
  [37s] 96 words...
  [37s] 100 words...
  [37s] 102 words...
  [37s] 106 words...
  [41s] 110 words...
  [41s] 114 words...
  [41s] 118 words...
  [41s] 122 words...
  [46s] 126 words...
  [46s] 130 words...
  [46s] 134 words...
  [46s] 138 words...
  [50s] 142 words...
  [50s] 146 words...
  [50s] 150 words...
  [55s] 154 words...
  [55s] 158 words...
  [55s] 162 words...
  [55s] 164 words...
  [55s] 168 words...
  [55s] 170 words...
  [60s] 174 words...
  [60s] 178 words...
  [60s] 181 words...
  [60s] 185 words...
  [65s] 190 words...
  [65s] 194 words...
  [65s] 198 words...
  [70s] 202 words...
  [70s] 205 words...
  [70s] 209 words...
  [70s] 214 words...
  [74s] 218 words...
  [74s] 222 words...
  [74s] 226 words...
  [74s] 229 words...
  [79s] 233 words...
  [79s] 238 words...
  [79s] 242 words...
  [85s] 244 words...
  [85s] 248 words...
  [85s] 250 words...
  [85s] 254 words...
  [85s] 258 words...
  [89s] 259 words...
  [89s] 261 words...
  [89s] 264 words...
  [93s] 266 words...
  [93s] 270 words...
  [93s] 274 words...
  [97s] 275 words...
  [97s] 277 words...
  [97s] 280 words...
  [102s] 282 words...
  [102s] 284 words...
  [102s] 286 words...
  [102s] 290 words...
  [106s] 294 words...
  [106s] 295 words...
  [106s] 297 words...
  [106s] 300 words...
  [113s] 302 words...
  [113s] 304 words...
  [113s] 306 words...
  [113s] 308 words...
  [113s] 309 words...
  [113s] 312 words...
  [113s] 314 words...
  [113s] 317 words...
  [138s] 321 words...
  [138s] 326 words...
  [138s] 333 words...
  [138s] 335 words...
  [138s] 339 words...
  [138s] 343 words...
  [138s] 349 words...
  [138s] 351 words...
  [138s] 359 words...
  [138s] 362 words...
  [142s] 384 words...
  [149s] 420 words...
  [156s] 443 words...
  [164s] 469 words...
  [171s] 495 words...
  [179s] 521 words...
  [188s] 555 words...
  [193s] 574 words...
  [200s] 596 words...
  [207s] 612 words...
  [226s] 624 words...
  [282s] 641 words...
  [301s] 653 words...
  [301s] 665 words...
  [301s] 675 words...
  [307s] 687 words...
  [307s] 699 words...
  [314s] 712 words...
  [314s] 726 words...
  [342s] 738 words...
  [342s] 750 words...
  [374s] 761 words...
  [374s] 769 words...
  [374s] 779 words...
